游戏名称,个人评分,打分日期,我的短评,发行日期,条目链接
"恶魔轮盘 Buckshot Roulette","4","2024/04/19","上帝已死于赌博","2023-12-28","https://www.douban.com/game/36738596/"
"随动回旋镖 Boomerang Fu","4","2024/04/19","欢乐联机小游戏，每次打出惊险骚操作都很有成就感！","2020-08-13","https://www.douban.com/game/35175984/"
"像素哥3 McPixel 3","4","2024/04/19","沙雕解谜，见人就踢！","2022-11-15","https://www.douban.com/game/36157889/"
"红灯笼 The Red Lantern","2","2024/03/12","","2020-10-22","https://www.douban.com/game/34908585/"
"星露谷物语 Stardew Valley","5","2024/03/04","令人沉迷的独立游戏神作。前期想和所有人结婚，后期沉迷各种下矿挑战和赚大钱。如果现实中枯燥的三点一线不可逃避，就让游戏里的自己来辞职过上牧歌式生活（并最终走向不为镇民所知的魔法一面）。大赞1.6更新。","2016-02-27","https://www.douban.com/game/26727125/"
"开箱整理 Unpacking","4","2024/03/04","and we unpack our life","2021-11-02","https://www.douban.com/game/34676679/"
"莱拉是谁？ Who's Lila?","","2024/02/27","太creepy了我选择云通关","2022-02-24","https://www.douban.com/game/35771217/"
"节奏医生 Rhythm Doctor","4","2024/02/21","在干扰中寻找节奏，在音乐中体验病人们的故事。通关后好几天，游戏里的几首曲子仍萦绕于脑海中。","2025-12-06","https://www.douban.com/game/30388317/"
"戒严令 Martial Law","3","2024/02/20","","2021-12-23","https://www.douban.com/game/35712142/"
"太鼓达人 NS版! 太鼓の達人 Nintendo Switchば～じょん!","4","2024/02/12","意想不到的健身神器（专门锻炼胳膊版）","2018-07-18","https://www.douban.com/game/30164611/"
"说剑","4","2024/02/09","比较有趣","2016-02-02","https://www.douban.com/game/26732939/"
"他人即地狱 Hell is Others","3","2024/02/04","鲜血养植物/子弹的设定和美术风格很喜欢，不过感觉储物空间对爱捡垃圾人来说很不够（何况还有死亡惩罚）！从PVP到PVE，单机模式虽然避免了网络和新手保护的问题，但是也让“他人”不复存在，多少有点影响游戏主题的表达。","2022-10-20","https://www.douban.com/game/35284127/"
"亲爱的艾丝特 Dear Esther","5","2024/02/04","词汇量略大。走路好累（晕3D）。风景好压抑好喜欢，感觉很19世纪英国小说。喜欢那句溺水或坠崖时那句“come back”。","2012-02-14","https://www.douban.com/game/19974701/"
"灾难菜谱 Recipe for Disaster","3","2024/02/03","出乎意料地还不错，甚至比《双点医院》这种同类游戏有更强的可定制性（虽然不如其精致和幽默），比如可以自由选择各种价格的室内装修，可以自制各种暗黑recipe，等等。与之相似，本游戏也可以修改员工工资、查看员工的想法、分配特定任务（甚至可以查看下一步路线），与此同时需要管理进货、食品储存、客户反馈、菜品定价等等问题。当然，在我看来也和所有同类型游戏一样在中后期很快变得缺乏新意。","2022-08-05","https://www.douban.com/game/35589059/"
"全网公敌 Cyber Manhunt","2","2024/02/03","交互很烂，添加个人物姓名都要“加载”半天，大量功夫都用在雕琢无意义的特效。而且我也不明白配音和人物名为什么莫名其妙努力想装成外国游戏……当然最重要的是太模仿Orwell了，实在无法玩下去。","2020-08-24","https://www.douban.com/game/35160988/"
"装机模拟器 PC Building Simulator","3","2024/02/03","","2019-01-30","https://www.douban.com/game/30173583/"
"致命框架合集 FRAMED Collection","4","2024/02/01","","2018-05-17","https://www.douban.com/game/30186206/"
"房产达人 House Flipper","3","2024/02/01","看来制作组真的很爱老友记哈哈…","2018-05-17","https://www.douban.com/game/30226208/"
"神界：原罪2 Divinity: Original Sin II","5","2024/01/17","神","2017-09-14","https://www.douban.com/game/26732291/"
"空当接龙 Freecell","","2023/12/30","","1978-06-01","https://www.douban.com/game/10789906/"
